"","N","low","high","ages","years"
"165",5868.24474139019,3803.14000900952,9054.70118461984,4,2005
"166",554.108964392212,368.794257236737,832.54209737522,5,2005
"167",165.869784819962,106.680821482774,257.898140769968,6,2005
"168",63.543623391043,38.9107543916632,103.770593420513,7,2005
"169",42921.3810731857,18642.4186030615,98820.0615196508,0,2006
"170",26717.3869020537,16682.0174554696,42789.7144203015,1,2006
"171",17659.7979411996,11160.3053098052,27944.4383165754,2,2006
"172",23947.2865395081,16489.5464790213,34777.9445198751,3,2006
"173",2503.43407802662,1638.82689828014,3824.18801497709,4,2006
"174",1510.73071857699,1021.42844185567,2234.42701468717,5,2006
"175",148.459058186545,94.7899242515217,232.515134194574,6,2006
"176",64.3308014683598,39.3702014169119,105.116353704602,7,2006
"177",26864.2635858008,12025.1794724622,60014.7930981037,0,2007
"178",12152.0433461809,7852.17442675612,18806.53045407,1,2007
"179",14126.4899392072,9033.11166384399,22091.8024074997,2,2007
"180",9417.46509447109,6466.16941174903,13715.7941832508,3,2007
"181",9291.39633860844,5911.07035683286,14604.8077098784,4,2007
"182",761.255933235699,496.417814454825,1167.38476946679,5,2007
"183",476.483451876598,304.450397581047,745.725680492169,6,2007
"184",69.7014150048932,41.7426794983551,116.386569143837,7,2007
"185",126299.513107041,60233.2928485324,264829.735461893,0,2008
"186",7499.09684375522,4869.78018381103,11548.0476221433,1,2008
"187",6382.65346619764,4270.30767524427,9539.88994885116,2,2008
"188",7745.59847397812,5285.44592777218,11350.8484506207,3,2008
"189",3728.77615356133,2323.16860323226,5984.83105531947,4,2008
"190",2552.25720975431,1659.99103523674,3924.12773711988,5,2008
"191",219.477421077008,136.989115289137,351.636246872192,6,2008
"192",165.490755575374,100.100313845698,273.597445689578,7,2008
"193",55185.4311385372,25573.2976033398,119086.394612969,0,2009
"194",37887.4559135697,24871.9390746752,57714.0089999771,1,2009
"195",4068.83635462327,2729.25777736773,6065.9089874138,2,2009
"196",3688.20584371834,2555.02193577959,5323.97086504371,3,2009
"197",3192.57629992136,1975.38622956454,5159.77244261058,4,2009
"198",885.078085947963,570.238606971938,1373.74637326837,5,2009
"199",646.953058528091,408.981798126892,1023.39092315544,6,2009
"200",113.678352209582,67.5852601668228,191.206895248878,7,2009
"201",85766.2006497444,39546.5845749035,186004.461648511,0,2010
"202",15447.1858713573,9863.23015977908,24192.4346769583,1,2010
"203",19953.034454177,13531.0355672899,29422.9944152984,2,2010
"204",2481.54235280664,1695.75753870669,3631.44630538969,3,2010
"205",1604.06406278067,1043.03896457695,2466.85081275752,4,2010
"206",678.981171139674,447.202406294064,1030.88763448884,5,2010
"207",204.231643664593,127.466427371416,327.227844492758,6,2010
"208",196.94285052865,123.645432405598,313.691218670478,7,2010
"209",71066.5909846388,33015.6946942161,152971.500401677,0,2011
"210",23139.5144444671,14588.6285093999,36702.3622803681,1,2011
"211",8005.27557625602,5223.84451627162,12267.6769670664,2,2011
"212",12148.4011008814,8451.14594062306,17463.1523754064,3,2011
"213",1082.44102091955,717.30007734797,1633.4566254354,4,2011
"214",430.100368364862,288.932329976993,640.241010351177,5,2011
"215",192.287724692387,119.870594109833,308.454040308641,6,2011
"216",128.092584339484,79.5682639238261,206.209226563942,7,2011
"217",165883.397550106,76804.6511544203,358276.499784388,0,2012
"218",18537.6944800017,11742.5047028246,29265.1461788406,1,2012
"219",11846.0461765639,7601.55472329987,18460.5406558681,2,2012
"220",4771.69914108215,3290.2269341889,6920.22561009677,3,2012
"221",5324.33669833564,3575.13682865888,7929.3640036367,4,2012
"222",365.602934616498,239.153540154557,558.910839094465,5,2012
"223",149.987513894997,95.3567161445186,235.916831388233,6,2012
"224",114.706673686639,70.4171692823252,186.852455478576,7,2012
"225",93322.3428795873,42429.0505162016,205261.715135711,0,2013
"226",42946.1722055935,26759.5193614519,68924.0222217661,1,2013
"227",9443.39894816516,6047.88382773017,14745.2871507415,2,2013
"228",6807.25634895611,4691.36102201056,9877.46173935341,3,2013
"229",2010.30700622995,1310.85104081788,3082.98512451555,4,2013
"230",1718.61710366939,1145.68501843923,2578.06002652346,5,2013
"231",122.202367554916,75.5391709524562,197.691058132287,6,2013
"232",91.8300016870455,56.1324480842537,150.229492880577,7,2013
"233",81339.806509404,35726.3687053368,185189.94128835,0,2014
"234",22650.0569180852,13986.59091424,36679.7800506325,1,2014
"235",21066.7305982555,13239.7120480052,33520.9056277278,2,2014
"236",5040.52447971833,3491.72719920248,7276.3092822494,3,2014
"237",2550.68135629524,1637.58041806473,3972.9196255539,4,2014
"238",506.094247786226,333.244944207461,768.597970035076,5,2014
"239",455.232305064403,293.019195853775,707.245308521242,6,2014
"240",62.3796020788172,37.4583307055834,103.881157601387,7,2014
"241",23884.5563229886,10411.2669240214,54793.7186616352,0,2015
"242",18108.4227117644,11356.7236252406,28874.0823435329,1,2015
"243",10735.6518636858,6686.14470610031,17237.7694477814,2,2015
"244",11342.3241864839,7760.95859353792,16576.3438112421,3,2015
"245",1966.90550147443,1258.47817100813,3074.12344596431,4,2015
"246",605.093662619314,398.690265197807,918.352848069665,5,2015
"247",128.251562277214,80.4477558946998,204.461430199196,6,2015
"248",141.73062785628,88.2889326706009,227.520825826273,7,2015
"249",269551.692475933,122417.506832302,593527.157975644,0,2016
"250",5083.11240559229,3238.96563681521,7977.24787018491,1,2016
"251",8449.20974257556,5405.2423618599,13207.3902509469,2,2016
"252",5796.8144062161,3948.40306976107,8510.5437986978,3,2016
"253",4584.69695462098,2874.38159030903,7312.68466113821,4,2016
"254",479.458992802302,306.415342133867,750.226552554825,5,2016
"255",158.279002698221,98.3545844886395,254.713522764536,6,2016
"256",85.993660011489,51.614200263213,143.272772308014,7,2016
"257",15259.1160581652,6332.43707492382,36769.5122938675,0,2017
"258",62461.4823493293,38951.1667959891,100162.256953938,1,2017
"259",2474.53542466926,1612.77201459467,3796.7707230349,2,2017
"260",4751.27320027364,3197.25648875564,7060.61496881174,3,2017
"261",2484.67025917198,1532.84038310592,4027.54674580305,4,2017
"262",940.64059525736,590.999341376661,1497.13319034345,5,2017
"263",108.455825848877,65.4401904614782,179.746820380758,6,2017
"264",70.7754962949577,42.5674297729935,117.676141183783,7,2017
"265",27262.9146892573,11328.382842104,65610.9991790916,0,2018
"266",3236.15885003329,1934.90646721845,5412.52214516809,1,2018
"267",29470.1815430417,18696.2969731386,46452.5997542517,2,2018
"268",1497.60409949847,1005.93608464253,2229.58304516098,3,2018
"269",2295.90273424582,1403.82270243137,3754.86830066787,4,2018
"270",439.439116598843,264.338342634619,730.528667436237,5,2018
"271",189.487773641028,112.968735902945,317.836754323612,6,2018
"272",54.0921889516866,31.7716544067296,92.0935645379931,7,2018
"273",52717.2887535576,22174.0448360382,125331.781101535,0,2019
"274",5884.07676702282,3507.89322221563,9869.84415060096,1,2019
"275",1544.33818338912,931.009267432707,2561.71502057147,2,2019
"276",17365.9412587241,11370.5913764281,26522.4477617445,3,2019
"277",725.769941368565,442.932465598258,1189.21517094637,4,2019
"278",352.71651450184,207.074468037498,600.793235309908,5,2019
"279",78.6548923098934,45.1810078282431,136.929041242272,6,2019
"280",61.8962890526942,36.5757786730252,104.745564892653,7,2019
"281",60779.1490541579,26311.5539444603,140398.58563828,0,2020
"282",11972.2526928179,6839.33826887347,20957.4126773372,1,2020
"283",2870.68645969585,1706.37320865838,4829.44804106507,2,2020
"284",810.737382131747,503.248959665539,1306.10325200211,3,2020
"285",7629.18443656129,4442.15670023492,13102.7469526212,4,2020
"286",143.060193036523,79.2076318566057,258.386955296158,5,2020
"287",78.4760442322901,41.7508857726122,147.505601483267,6,2020
"288",46.3157810123283,25.1428476713246,85.3185605236152,7,2020
"289",72099.9754458079,30881.1508941838,168335.904225162,0,2021
"290",15530.7665693303,8680.62011791574,27786.5759536245,1,2021
"291",6235.7107093122,3517.78223942681,11053.5801831118,2,2021
"292",1380.80148238608,856.134659412849,2227.00098961908,3,2021
"293",361.168189474195,197.020777805617,662.074642791045,4,2021
"294",1216.60681673031,650.645416272531,2274.86755381165,5,2021
"295",26.9397977183478,13.3699835053374,54.2822435656535,6,2021
"296",40.6157480045295,20.3577466451894,81.0324941516678,7,2021
"297",145073.383326022,60085.76607814,350270.75334762,0,2022
"298",21185.1114558221,11458.0243388362,39169.8371484863,1,2022
"299",8711.32760078968,4840.8623390113,15676.3864067614,2,2022
"300",2053.56759740548,1245.60970686668,3385.60293313856,3,2022
"301",491.747763069624,273.139921983684,885.318633496657,4,2022
"302",73.91457942724,33.419361123413,163.479039342803,5,2022
"303",290.413574000966,134.44494128288,627.320322797106,6,2022
"304",31.5621644966943,14.4294337398139,69.0373749711151,7,2022
"305",85091.1457612996,33424.3278612015,216623.745346138,0,2023
"306",47171.7763129922,25233.6916926523,88182.7561193082,1,2023
"307",12636.8756128401,6851.06129351002,23308.888712712,2,2023
"308",1980.51313942088,1187.48315029628,3303.14774945657,3,2023
"309",608.598973741961,346.884743074934,1067.76881438039,4,2023
"310",104.441725268896,51.2763807554654,212.730965337893,5,2023
"311",18.7032197531864,7.33336703191289,47.7012029554361,6,2023
"312",106.49409569057,47.4922833443944,238.796529000556,7,2023
"313",35342.5610687358,18546.9202543682,67347.926543391,0,2024
"314",29404.4805354979,14253.2327703184,60661.5698694687,1,2024
"315",28980.9951890659,15666.9551882102,53609.528594344,2,2024
"316",1549.25318317883,867.606074642291,2766.44608162676,3,2024
"317",365.541088664744,204.883636385843,652.176473725647,4,2024
"318",141.806627578479,70.3158468060809,285.982755503736,5,2024
"319",28.7617567502339,11.3180908701515,73.0899460739665,6,2024
"320",87.0696737668459,37.9909508643398,199.55089086704,7,2024
