Data,Cod_adult_M_ICES_2024,Cod_juv_M_ICES_2025,Cod_adult_new_min,Cod_juvenile_new_min,Cod_adult_new_max,Cod_juvenile_new_max
2009.166667,29384.11908,48629.51135,19292.24122,16652.14583,7740.622965,25638.49161
2009.25,29466.47798,48686.95209,19212.67304,16652.00425,7723.525692,25684.21398
2009.333333,29552.53998,48728.46032,19141.68934,16646.89005,7726.809342,25696.70798
2009.416667,29641.55945,48754.49224,19078.19211,16636.69312,7747.284432,25677.01537
2009.5,29732.90712,48765.50405,19021.30667,16621.30175,7782.160959,25626.33924
2009.583333,29826.06074,48761.92049,18970.2811,16600.61056,7828.990545,25546.06803
2009.666667,29917.22278,48747.52334,18924.49085,16574.53932,7885.573953,25437.76673
2009.75,30001.92247,48727.24273,18883.38691,16543.02352,7949.961518,25303.16455
2009.833333,30076.9475,48705.31035,18846.51623,16506.00182,8020.394444,25144.1888
2009.916667,30140.29058,48685.18706,18813.48866,16463.44432,8095.337743,24962.8964
2010,30190.50757,48669.92469,18782.79246,16416.44907,8164.175717,24770.74506
2010.083333,30235.6906,48690.72757,18828.80609,16355.47668,8379.266991,24521.92417
2010.166667,30277.08871,48716.10193,18870.52826,16290.90186,8572.526811,24267.01781
2010.25,30315.60801,48744.547,18908.38214,16222.59561,8746.282785,24007.5846
2010.333333,30352.02249,48775.15983,18942.67134,16150.55793,8902.283152,23745.60082
2010.416667,30386.77891,48807.33634,18973.60981,16074.86747,9041.967041,23483.31216
2010.5,30420.38695,48840.60144,19001.37215,15995.65166,9166.60974,23223.1598
2010.583333,30453.13293,48874.62478,19026.11097,15913.06152,9277.365761,22967.69223
2010.666667,30485.30629,48909.09175,19047.92064,15827.29683,9375.3495,22719.44648
2010.75,30517.07378,48943.75692,19066.89714,15738.56525,9461.660154,22480.90262
2010.833333,30548.70914,48978.35917,19083.16158,15647.08071,9537.437033,22254.3266
2010.916667,30580.35393,49012.63107,19096.7942,15553.06818,9603.832118,22041.75
